"ID","Title","Created By","Created On","Estimate","Forecast","Priority","References","Section","Section Depth","Section Description","Suite","Suite ID","Type","Updated By","Updated On"
"C35","Проверка наличия логотипа","Евгений Обысов","4/16/2023 5:29 AM","","","Medium","","Логотип","3","","Master","S5","Other","Евгений Обысов","4/16/2023 5:44 AM"
"C36","Проверка кнопки логотипа","Евгений Обысов","4/16/2023 5:30 AM","","","Medium","","Логотип","3","","Master","S5","Other","Евгений Обысов","4/16/2023 5:43 AM"
"C37","Ввод пустого значения","Евгений Обысов","4/16/2023 5:30 AM","","","Medium","","Строка поиска","3","","Master","S5","Other","Евгений Обысов","4/16/2023 5:53 AM"
"C38","Ввод значения, удовлетворяющего критериям (""""счастливый сценарий"""")","Евгений Обысов","4/16/2023 5:31 AM","","","Medium","","Строка поиска","3","","Master","S5","Other","Евгений Обысов","4/16/2023 5:58 AM"
"C39","Ввод максимальной длины или максимального значения","Евгений Обысов","4/16/2023 5:31 AM","","","Medium","","Строка поиска","3","","Master","S5","Other","Евгений Обысов","4/16/2023 6:04 AM"
"C40","Ввод минимальной длины или минимального значения","Евгений Обысов","4/16/2023 5:31 AM","","","Medium","","Строка поиска","3","","Master","S5","Other","Евгений Обысов","4/16/2023 6:06 AM"
"C41","Проверка корректности ввода логина и пароля в окне авторизации","Евгений Обысов","4/16/2023 6:56 AM","","","Medium","","Поле ввода логина и пароля","3","","Master","S5","Other","Евгений Обысов","4/16/2023 7:16 AM"
"C42","Ввод пустого значения","Евгений Обысов","4/16/2023 7:17 AM","","","Medium","","Поле ввода логина и пароля","3","","Master","S5","Other","Евгений Обысов","4/16/2023 7:19 AM"
"C43","Ввод значения, удовлетворяющего критериям (""""счастливый сценарий"""")","Евгений Обысов","4/16/2023 7:17 AM","","","Medium","","Поле ввода логина и пароля","3","","Master","S5","Other","Евгений Обысов","4/16/2023 7:17 AM"
"C44","Ввод максимальной длины или максимального значения","Евгений Обысов","4/16/2023 7:17 AM","","","Medium","","Поле ввода логина и пароля","3","","Master","S5","Other","Евгений Обысов","4/16/2023 7:20 AM"
"C45","Ввод минимальной длины или минимального значения","Евгений Обысов","4/16/2023 7:17 AM","","","Medium","","Поле ввода логина и пароля","3","","Master","S5","Other","Евгений Обысов","4/16/2023 7:20 AM"
"C46","Проверка скрытия отображения пароля астерисками","Евгений Обысов","4/16/2023 7:31 AM","","","Medium","","Поле ввода логина и пароля","3","","Master","S5","Other","Евгений Обысов","4/16/2023 7:36 AM"
"C47","Обязательность заполнения поля","Евгений Обысов","4/16/2023 7:45 AM","","","Medium","","Поле ввода логина и пароля","3","","Master","S5","Other","Евгений Обысов","4/16/2023 7:49 AM"
"C48","Данные отправляются на API","Евгений Обысов","4/16/2023 7:50 AM","","","Medium","","Кнопка входа","3","","Master","S5","Other","Евгений Обысов","4/16/2023 7:55 AM"
"C49","Проверка подчеркивания кнопки","Евгений Обысов","4/16/2023 8:08 AM","","","Medium","","Кнопка регистрации","3","","Master","S5","Other","Евгений Обысов","4/16/2023 8:08 AM"
"C50","Проверка всплывающего окна","Евгений Обысов","4/16/2023 8:09 AM","","","Medium","","Кнопка регистрации","3","","Master","S5","Other","Евгений Обысов","4/16/2023 8:09 AM"
"C51","Проверка перехода на вкладку регистрации","Евгений Обысов","4/16/2023 8:10 AM","","","Medium","","Кнопка регистрации","3","","Master","S5","Other","Евгений Обысов","4/16/2023 8:10 AM"
"C52","Пользовательское соглашение","Евгений Обысов","4/16/2023 8:12 AM","","","Medium","","Кнопка регистрации","3","","Master","S5","Other","Евгений Обысов","4/16/2023 8:12 AM"
"C53","Форма регистрации пользователя","Евгений Обысов","4/16/2023 8:14 AM","","","Medium","","Кнопка регистрации","3","","Master","S5","Other","Евгений Обысов","4/16/2023 8:14 AM"
"C54","Проверка ввода логина и пароля","Евгений Обысов","4/16/2023 8:16 AM","","","Medium","","Кнопка регистрации","3","","Master","S5","Other","Евгений Обысов","4/16/2023 8:16 AM"
"C55","Проверка работы reCaptcha","Евгений Обысов","4/16/2023 8:18 AM","","","Medium","","Кнопка регистрации","3","","Master","S5","Other","Евгений Обысов","4/16/2023 8:18 AM"
